,state_name,state,congress,s_upper,s_lower,election_name,race_type,voter_power
295,Michigan,26,NA,NA,100,State House District 100,State Leg (Lower),8
296,Michigan,26,NA,NA,101,State House District 101,State Leg (Lower),7
297,Michigan,26,NA,NA,102,State House District 102,State Leg (Lower),29
298,Michigan,26,NA,NA,103,State House District 103,State Leg (Lower),100
299,Michigan,26,NA,NA,104,State House District 104,State Leg (Lower),13
300,Michigan,26,NA,NA,105,State House District 105,State Leg (Lower),6
301,Michigan,26,NA,NA,106,State House District 106,State Leg (Lower),9
302,Michigan,26,NA,NA,107,State House District 107,State Leg (Lower),28
303,Michigan,26,NA,NA,108,State House District 108,State Leg (Lower),13
304,Michigan,26,NA,NA,109,State House District 109,State Leg (Lower),91
305,Michigan,26,NA,NA,110,State House District 110,State Leg (Lower),27
306,Minnesota,27,NA,NA,1,State House District 1,State Leg (Lower),9
307,Minnesota,27,NA,NA,2,State House District 2,State Leg (Lower),25
308,Minnesota,27,NA,NA,3,State House District 3,State Leg (Lower),93
309,Minnesota,27,NA,NA,4,State House District 4,State Leg (Lower),31
310,Minnesota,27,NA,NA,5,State House District 5,State Leg (Lower),99
311,Minnesota,27,NA,NA,6,State House District 6,State Leg (Lower),51
312,Minnesota,27,NA,NA,7,State House District 7,State Leg (Lower),23
313,Minnesota,27,NA,NA,8,State House District 8,State Leg (Lower),35
314,Minnesota,27,NA,NA,9,State House District 9,State Leg (Lower),6
315,Minnesota,27,NA,NA,10,State House District 10,State Leg (Lower),4
316,Minnesota,27,NA,NA,11,State House District 11,State Leg (Lower),23
317,Minnesota,27,NA,NA,12,State House District 12,State Leg (Lower),16
318,Minnesota,27,NA,NA,13,State House District 13,State Leg (Lower),98
319,Minnesota,27,NA,NA,14,State House District 14,State Leg (Lower),78
320,Minnesota,27,NA,NA,15,State House District 15,State Leg (Lower),4
321,Minnesota,27,NA,NA,16,State House District 16,State Leg (Lower),4
322,Minnesota,27,NA,NA,17,State House District 17,State Leg (Lower),18
323,Minnesota,27,NA,NA,18,State House District 18,State Leg (Lower),7
324,Minnesota,27,NA,NA,19,State House District 19,State Leg (Lower),8
325,Minnesota,27,NA,NA,20,State House District 20,State Leg (Lower),3
326,Minnesota,27,NA,NA,21,State House District 21,State Leg (Lower),64
327,Minnesota,27,NA,NA,22,State House District 22,State Leg (Lower),12
328,Minnesota,27,NA,NA,23,State House District 23,State Leg (Lower),16
329,Minnesota,27,NA,NA,24,State House District 24,State Leg (Lower),8
330,Minnesota,27,NA,NA,25,State House District 25,State Leg (Lower),7
331,Minnesota,27,NA,NA,26,State House District 26,State Leg (Lower),16
332,Minnesota,27,NA,NA,27,State House District 27,State Leg (Lower),98
333,Minnesota,27,NA,NA,28,State House District 28,State Leg (Lower),92
334,Minnesota,27,NA,NA,29,State House District 29,State Leg (Lower),18
335,Minnesota,27,NA,NA,30,State House District 30,State Leg (Lower),9
336,Minnesota,27,NA,NA,31,State House District 31,State Leg (Lower),12
337,Minnesota,27,NA,NA,32,State House District 32,State Leg (Lower),21
338,Minnesota,27,NA,NA,33,State House District 33,State Leg (Lower),7
339,Minnesota,27,NA,NA,34,State House District 34,State Leg (Lower),8
340,Minnesota,27,NA,NA,35,State House District 35,State Leg (Lower),71
341,Minnesota,27,NA,NA,36,State House District 36,State Leg (Lower),18
342,Minnesota,27,NA,NA,37,State House District 37,State Leg (Lower),27
343,Minnesota,27,NA,NA,38,State House District 38,State Leg (Lower),30
344,Minnesota,27,NA,NA,39,State House District 39,State Leg (Lower),83
345,Minnesota,27,NA,NA,40,State House District 40,State Leg (Lower),16
346,Minnesota,27,NA,NA,41,State House District 41,State Leg (Lower),6
347,Minnesota,27,NA,NA,42,State House District 42,State Leg (Lower),22
348,Minnesota,27,NA,NA,43,State House District 43,State Leg (Lower),13
349,Minnesota,27,NA,NA,44,State House District 44,State Leg (Lower),16
350,Minnesota,27,NA,NA,45,State House District 45,State Leg (Lower),38
351,Minnesota,27,NA,NA,46,State House District 46,State Leg (Lower),99
352,Minnesota,27,NA,NA,47,State House District 47,State Leg (Lower),26
353,Minnesota,27,NA,NA,48,State House District 48,State Leg (Lower),45
354,Minnesota,27,NA,NA,49,State House District 49,State Leg (Lower),46
355,Minnesota,27,NA,NA,50,State House District 50,State Leg (Lower),12
356,Minnesota,27,NA,NA,51,State House District 51,State Leg (Lower),59
